"","gsm","gse","gsm_title","platform","blood.subgroup","predsex","predage","predcell.CD8T","predcell.CD4T","predcell.NK","predcell.Bcell","predcell.Mono","predcell.Gran","glint.epi.pc1","glint.epi.pc2"
"GSM3440548.1607013450.hlink.GSM3440548_6929793111_R03C01","GSM3440548","GSE121633","ERC45KI2742 genomic DNA from whole blood","hm450k","whole_blood","F",59.248,"0.062","0.186","0.101","0.089","0.088","0.485",-0.8799654,2.783478
"GSM3440549.1607013450.hlink.GSM3440549_6042308108_R05C02","GSM3440549","GSE121633","ERC45KI2752 genomic DNA from whole blood","hm450k","whole_blood","F",61.346,"0.186","0.137","0.082","0.083","0.069","0.485",20.7406,4.91645
"GSM3440550.1607013450.hlink.GSM3440550_6057825036_R04C02","GSM3440550","GSE121633","ERC45KI2761 genomic DNA from whole blood","hm450k","whole_blood","F",33.653,"0.061","0.119","0.037","0.041","0.075","0.683",9.255635,-10.42533
"GSM3440551.1607013450.hlink.GSM3440551_6042308108_R03C01","GSM3440551","GSE121633","ERC45KI2771 genomic DNA from whole blood","hm450k","whole_blood","F",48.057,"0.032","0.203","0.036","0.06","0.068","0.604",9.694605,0.05128859
"GSM3440552.1607013450.hlink.GSM3440552_6042308108_R04C01","GSM3440552","GSE121633","ERC45KI2772 genomic DNA from whole blood","hm450k","whole_blood","F",53.629,"0.059","0.273","0.028","0.11","0.075","0.486",12.58575,1.212251
"GSM3440553.1607013450.hlink.GSM3440553_6057825036_R01C02","GSM3440553","GSE121633","ERC45KI2802 genomic DNA from whole blood","hm450k","other/NOS","F",52.456,"0.127","0.221","0.023","0.068","0.054","0.545",7.527423,-2.242191
"GSM3440554.1607013450.hlink.GSM3440554_6042316074_R03C01","GSM3440554","GSE121633","ERC45KI2811 genomic DNA from whole blood","hm450k","whole_blood","F",62.491,"0","0.315","0.012","0.039","0.032","0.586",-4.90067,6.346679
"GSM3440555.1607013450.hlink.GSM3440555_6055432139_R05C02","GSM3440555","GSE121633","ERC45KI2812 genomic DNA from whole blood","hm450k","whole_blood","F",58.583,"0","0.266","0.01","0.029","0.058","0.607",-21.23347,-4.114993
"GSM3440556.1607013450.hlink.GSM3440556_6057825005_R04C02","GSM3440556","GSE121633","ERC45KI2842 genomic DNA from whole blood","hm450k","whole_blood","F",58.099,"0.002","0.22","0.059","0.003","0.097","0.591",-18.54988,-2.84458
"GSM3440557.1607013450.hlink.GSM3440557_6929742080_R04C02","GSM3440557","GSE121633","ERC45KI2851 genomic DNA from whole blood","hm450k","whole_blood","F",39.964,"0.095","0.084","0.077","0.077","0.1","0.601",-9.493849,-8.592727
"GSM3440558.1607013450.hlink.GSM3440558_6929742080_R05C02","GSM3440558","GSE121633","ERC45KI2852 genomic DNA from whole blood","hm450k","whole_blood","F",41.371,"0.025","0.056","0.075","0.009","0.134","0.682",-10.97678,-7.143865
"GSM3440559.1607013450.hlink.GSM3440559_6042308108_R03C02","GSM3440559","GSE121633","ERC45KI2861 genomic DNA from whole blood","hm450k","whole_blood","F",53.424,"0.055","0.19","0.064","0.052","0.071","0.59",17.59177,-2.012731
"GSM3440560.1607013450.hlink.GSM3440560_6055432102_R04C01","GSM3440560","GSE121633","ERC45KI2891 genomic DNA from whole blood","hm450k","whole_blood","F",70.385,"0.038","0.109","0.111","0","0.104","0.62",-9.924754,1.5634
